ID,Title,Artist,Year,ISRC,Youtube-URL,URL,Spotify-URL,QR
00034,Sweet Home Alabama,Lynyrd Skynyrd,1974,,https://www.youtube.com/watch?v=-35W_FWCT9Q,https://hitstergame.com/de/00034,,
00035,He Ain't Heavy He's My Brother,The Hollies,1969,,https://www.youtube.com/watch?v=eUWZqbumaZo,https://hitstergame.com/de/00035,,
00036,Eine neue Liebe ist wie ein neues Leben,Jürgen Marcus,1972,,https://www.youtube.com/watch?v=TGMSNWOzhtM,https://hitstergame.com/de/00036,,
00037,Manic Monday,The Bangles,1986,,https://www.youtube.com/watch?v=SsmVgoXDq2w,https://hitstergame.com/de/00037,,
00038,Paradise By the Dashboard Light,Meat Loaf,1978,,https://www.youtube.com/watch?v=C11MzbEcHlw,https://hitstergame.com/de/00038,,
00039,Never Ending Story,Limahl,1984,,https://www.youtube.com/watch?v=Gf1WT8VEZxk,https://hitstergame.com/de/00039,,
00040,Don't Call Me Up,Mabel,2019,,https://www.youtube.com/watch?v=9TQKyDD9Yig,https://hitstergame.com/de/00040,,
00041,Under the Bridge,Red Hot Chili Peppers,1992,,https://www.youtube.com/watch?v=GLvohMXgcBo,https://hitstergame.com/de/00041,,
00042,König von Deutschland,Rio Reiser,1986,,https://www.youtube.com/watch?v=BzGHhaMUqSQ,https://hitstergame.com/de/00042,,
00043,Upside Down,Diana Ross,1980,,https://www.youtube.com/watch?v=lZ9OP5dzkQg,https://hitstergame.com/de/00043,,
00044,Don't Speak,No Doubt,1996,,https://www.youtube.com/watch?v=TR3Vdo5etCQ,https://hitstergame.com/de/00044,,
00045,(I Can't Get No) Satisfaction,The Rolling Stones,1965,,https://www.youtube.com/watch?v=nrIPxlFzDi0,https://hitstergame.com/de/00045,,
00046,Dilemma (feat. Kelly Rowland) Nelly,Kelly Rowland,2002,,https://www.youtube.com/watch?v=8WYHDfJDPDc,https://hitstergame.com/de/00046,,
00047,Lola,The Kinks,1970,,https://www.youtube.com/watch?v=LemG0cvc4oU,https://hitstergame.com/de/00047,,
00048,Captain Jack,Captain Jack,1995,,https://www.youtube.com/watch?v=0Bb_w7nOBwg,https://hitstergame.com/de/00048,,
00049,True Colors,Cyndi Lauper,1986,,https://www.youtube.com/watch?v=LPn0KFlbqX8,https://hitstergame.com/de/00049,,
00050,Hey Ya!,Outkast,2003,,https://www.youtube.com/watch?v=PWgvGjAhvIw,https://hitstergame.com/de/00050,,
00051,Guajira Guantanamera,Joseito Fernandez,1929,,https://www.youtube.com/watch?v=SVMyUUTfk80,https://hitstergame.com/de/00051,,
00052,La Cintura,Alvaro Soler,2018,,https://www.youtube.com/watch?v=Eg4LUvUjUWI,https://hitstergame.com/de/00052,,
00053,Sick and Tired,Anastacia,2004,,https://www.youtube.com/watch?v=HzfyCuPVpCY,https://hitstergame.com/de/00053,,
00054,If You Leave Me Now,Chicago,1976,,https://www.youtube.com/watch?v=-9_d-sFhmRM,https://hitstergame.com/de/00054,,
00055,"Siebzehn Jahr, blondes Haar",Udo Jürgens,1965,,https://www.youtube.com/watch?v=1_ReKoTY8eY,https://hitstergame.com/de/00055,,
00056,Murder On The Dancefloor,Sophie Ellis-Bextor,2001,,https://www.youtube.com/watch?v=hAx6mYeC6pY,https://hitstergame.com/de/00056,,
00057,Sing Hallelujah!,Dr. Alban,1993,,https://www.youtube.com/watch?v=pKxJca7LLNM,https://hitstergame.com/de/00057,,
00058,Set Fire to the Rain,Adele,2011,,https://www.youtube.com/watch?v=a2giXO6eyuI,https://hitstergame.com/de/00058,,
00059,Herz an Herz,Blümchen,1996,,https://www.youtube.com/watch?v=eGUsqIPurNQ,https://hitstergame.com/de/00059,,
00060,Tage Wie diese,Die Toten Hosen,2012,,https://www.youtube.com/watch?v=j09hpp3AxIE,https://hitstergame.com/de/00060,,
00061,Sweet Caroline,Neil Diamond,1969,,https://www.youtube.com/watch?v=4F_RCWVoL4s,https://hitstergame.com/de/00061,,
00062,Do Wah Diddy Diddy,Manfred Mann,1964,,https://www.youtube.com/watch?v=1UingsUi0mI,https://hitstergame.com/de/00062,,
00063,Über sieben Brücken musst du gehn,Karat,1978,,https://www.youtube.com/watch?v=28MMYPoG8ag,https://hitstergame.com/de/00063,,
00064,Don't Leave Me This Way,Thelma Houston,1976,,https://www.youtube.com/watch?v=rUdw7V-FC_Q,https://hitstergame.com/de/00064,,
00065,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2011,,https://www.youtube.com/watch?v=96L5sV7rqX0,https://hitstergame.com/de/00065,,
00066,Do You Know? (The Ping Pong Song),Enrique Iglesias,2007,,https://www.youtube.com/watch?v=UqON44CLaQM,https://hitstergame.com/de/00066,,
00067,Warum?,Tic Tac Toe,1997,,https://www.youtube.com/watch?v=S2lWV74yZ5o,https://hitstergame.com/de/00067,,
00068,Gimme Hope Jo'Anna,Eddy Grant,1988,,https://www.youtube.com/watch?v=3P-imA4618Y,https://hitstergame.com/de/00068,,
00069,Wind of Change,Scorpions,1991,,https://www.youtube.com/watch?v=n4RjJKxsamQ,https://hitstergame.com/de/00069,,
00070,Le Freak,CHIC,1978,,https://www.youtube.com/watch?v=aXgSHL7efKg,https://hitstergame.com/de/00070,,
00071,Haus am See,Peter Fox,2008,,https://www.youtube.com/watch?v=j-XKgB5guDQ,https://hitstergame.com/de/00071,,
00072,Poker Face,Lady Gaga,2008,,https://www.youtube.com/watch?v=bESGLojNYSo,https://hitstergame.com/de/00072,,
00073,It's a Heartache,Bonnie Tyler,1977,,https://www.youtube.com/watch?v=bEOl38y8Nj8,https://hitstergame.com/de/00073,,
00074,Johnny B. Goode,Chuck Berry,1958,,https://www.youtube.com/watch?v=Uf4rxCB4lys,https://hitstergame.com/de/00074,,
00075,White Wedding,Billy Idol,1982,,https://www.youtube.com/watch?v=AAZQaYKZMTI,https://hitstergame.com/de/00075,,
00076,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,1908,,https://www.youtube.com/watch?v=RZNkoRb2iLQ,https://hitstergame.com/de/00076,,
00077,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",2017,,https://www.youtube.com/watch?v=As_4JTmHuW4,https://hitstergame.com/de/00077,,
00078,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,1989,,https://www.youtube.com/watch?v=X8TOhb_4jU0,https://hitstergame.com/de/00078,,
00079,Ca plane pour moi,Plastic Bertrand,1977,,https://www.youtube.com/watch?v=8soQkubMk1g,https://hitstergame.com/de/00079,,
00080,Born to Be Alive,Patrick Hernandez,1978,,https://www.youtube.com/watch?v=9UaJAnnipkY,https://hitstergame.com/de/00080,,
00081,Whole Lotta Love,Led Zeppelin,1969,,https://www.youtube.com/watch?v=HibBnC6SVk8,https://hitstergame.com/de/00081,,
00082,Ein Kompliment,Sportfreunde Stiller,2002,,https://www.youtube.com/watch?v=C4uXGzFZjqw,https://hitstergame.com/de/00082,,
00083,In the Mood,Glenn Miller,1939,,https://www.youtube.com/watch?v=_CI-0E_jses,https://hitstergame.com/de/00083,,
00084,Wahnsinn,Wolfgang Petry,1983,,https://www.youtube.com/watch?v=ExgfgiW-BJI,https://hitstergame.com/de/00084,,
00085,Counting Stars,OneRepublic,2013,,https://www.youtube.com/watch?v=hT_nvWreIhg,https://hitstergame.com/de/00085,,
00086,Dragostea din tei,O-Zone,2003,,https://www.youtube.com/watch?v=YnopHCL1Jk8,https://hitstergame.com/de/00086,,
00087,Everybody Hurts,R.E.M.,1992,,https://www.youtube.com/watch?v=5rOiW_xY-kc,https://hitstergame.com/de/00087,,
00088,Just Give Me a Reason (feat. Nate Ruess),"Pink, Nate Ruess",2013,,https://www.youtube.com/watch?v=OpQFFLBMEPI,https://hitstergame.com/de/00088,,
00089,Joyride,Roxette,1991,,https://www.youtube.com/watch?v=xCorJG9mubk,https://hitstergame.com/de/00089,,
00090,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1954,,https://www.youtube.com/watch?v=hzYBEJgKjv0,https://hitstergame.com/de/00090,,
00091,Bette Davis Eyes,Kim Carnes,1981,,https://www.youtube.com/watch?v=EPOIS5taqA8,https://hitstergame.com/de/00091,,
00092,Lambada,Kaoma,1989,,https://www.youtube.com/watch?v=iyLdoQGBchQ,https://hitstergame.com/de/00092,,
00093,Ain't Nobody,"Rufus, Chaka Khan",1983,,https://www.youtube.com/watch?v=uBnISf3Rjx8,https://hitstergame.com/de/00093,,
00094,Have You Ever Seen The Rain,Creedence Clearwater Revival,1971,,https://youtu.be/u1V8YRJnr4Q?t=16,https://hitstergame.com/de/00094,,
00095,(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",1987,,https://www.youtube.com/watch?v=4BQLE_RrTSU,https://hitstergame.com/de/00095,,
00096,Piu bella cosa,Eros Ramazzotti,1996,,https://www.youtube.com/watch?v=eTOKcxIujgE,https://hitstergame.com/de/00096,,
00097,No Son Of Mine,Genesis,1991,,https://www.youtube.com/watch?v=cddQn1mZRfI,https://hitstergame.com/de/00097,,
00098,Happy,Pharrell Williams,2013,,https://www.youtube.com/watch?v=ZbZSe6N_BXs,https://hitstergame.com/de/00098,,
00099,Wonderwall,Oasis,1995,,https://www.youtube.com/watch?v=FVdjZYfDuLE,https://hitstergame.com/de/00099,,
00100,You Can't Hurry Love,The Supremes,1966,,https://www.youtube.com/watch?v=nq_TX5ZR0rU,https://hitstergame.com/de/00100,,
00101,Gold Digger,"Kanye West, Jamie Foxx",2005,,https://www.youtube.com/watch?v=6vwNcNOTVzY,https://hitstergame.com/de/00101,,
00102,Ich will Spass,Markus,1982,,https://www.youtube.com/watch?v=UW7lB7p0Eow,https://hitstergame.com/de/00102,,
00103,Lady - Hear Me Tonight,Modjo,2000,,https://www.youtube.com/watch?v=vRB1MLGEHSc,https://hitstergame.com/de/00103,,
00104,She Drives Me Crazy,Fine Young Cannibals,1988,,https://www.youtube.com/watch?v=UtvmTu4zAMg,https://hitstergame.com/de/00104,,
00105,Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,1956,,https://www.youtube.com/watch?v=CNwsXRsvVWE,https://hitstergame.com/de/00105,,
00106,Moskau,Dschinghis Khan,1979,,https://www.youtube.com/watch?v=EPdn9_h2dCY,https://hitstergame.com/de/00106,,
00107,Cotton Eye Joe,Rednex,1994,,https://www.youtube.com/watch?v=mOYZaiDZ7BM,https://hitstergame.com/de/00107,,
00108,I Can Help,Billy Swan,1974,,https://www.youtube.com/watch?v=bgPsM-YWBrE,https://hitstergame.com/de/00108,,
00109,Dancing In the Dark,Bruce Springsteen,1984,,https://www.youtube.com/watch?v=129kuDCQtHs,https://hitstergame.com/de/00109,,
00110,Day-O (The Banana Boat Song),Harry Belafonte,1956,,https://www.youtube.com/watch?v=YO7M0Hx_1D8,https://hitstergame.com/de/00110,,
00111,Ich will 'nen Cowboy als Mann,Gitte Haenning,1963,,https://www.youtube.com/watch?v=zOcyefACvws,https://hitstergame.com/de/00111,,
00112,Break My Heart,Dua Lipa,2020,,https://www.youtube.com/watch?v=Nj2U6rhnucI,https://hitstergame.com/de/00112,,
00113,Wrecking Ball,Miley Cyrus,2013,,https://www.youtube.com/watch?v=My2FRPA3Gf8,https://hitstergame.com/de/00113,,
00114,Jailhouse Rock,Elvis Presley,1957,,https://www.youtube.com/watch?v=PpsUOOfb-vE,https://hitstergame.com/de/00114,,
00115,Adore You,Harry Styles,2019,,https://www.youtube.com/watch?v=VF-r5TtlT9w,https://hitstergame.com/de/00115,,
00116,Good Golly Miss Molly,Little Richard,1958,,https://www.youtube.com/watch?v=ZVQV-1Fzl3w,https://hitstergame.com/de/00116,,
00117,The Ketchup Song,Las Ketchup,2002,,https://www.youtube.com/watch?v=V0PisGe66mY,https://hitstergame.com/de/00117,,
00118,"Relax, Take It Easy",MIKA,2007,,https://www.youtube.com/watch?v=RVmG_d3HKBA,https://hitstergame.com/de/00118,,
00119,I'm a Believer,The Monkees,1966,,https://www.youtube.com/watch?v=4PQAqprjOuA,https://hitstergame.com/de/00119,,
00120,Schuld war nur der Bossa Nova,Manuela,1963,,https://www.youtube.com/watch?v=Gnmq27MCkFY,https://hitstergame.com/de/00120,,
00121,I Love It (feat. Charli XCX),"Icona Pop, Charli XCX",2012,,https://www.youtube.com/watch?v=UxxajLWwzqY,https://hitstergame.com/de/00121,,
